IP地址,端口号,TLS,丢包率,扫描方式,网络延迟,下载速度,出站IP,IP类型,原始输入,数据中心,源IP位置,地区,城市,ASN号码,ASN组织,访问协议,TLS版本,SNI,HTTP版本,WARP,Gateway,RBI,密钥交换,时间戳
82.108.155.108,443,true,0%,HTTPing,123ms,未测速,2602:f8c0:8:1001:be24:11ff:fe30:6647,IPv6,82.108.155.108,NRT,JP,Asia Pacific,Tokyo,AS46829,Lamhosting LLC,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
43.165.191.60,443,true,0%,HTTPing,123ms,未测速,240d:c000:f06f:8f00:78b2:ab3a:6efe:0,IPv6,43.165.191.60,NRT,JP,Asia Pacific,Tokyo,AS132203,"Tencent Building, Kejizhongyi Avenue",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
96.126.191.218,443,true,0%,HTTPing,123ms,未测速,2400:8d60:8::f8cf:e340,IPv6,96.126.191.218,KIX,JP,Asia Pacific,Osaka,AS149440,Evoxt Sdn. Bhd.,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
154.83.95.129,443,true,0%,HTTPing,123ms,未测速,2602:fa4f:b00:1d65:2ec1:9936:2053:d9ce,IPv6,154.83.95.129,NRT,JP,Asia Pacific,Tokyo,AS61112,AKILE LTD,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085222.000
14.137.230.82,8443,true,0%,HTTPing,123ms,未测速,2a0e:97c0:3f4:1::af5,IPv6,14.137.230.82,NRT,JP,Asia Pacific,Tokyo,AS205548,Zouter Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
45.202.245.214,443,true,0%,HTTPing,123ms,未测速,2a12:e100:25:3a86:1d90:f3a:117b:8caa,IPv6,45.202.245.214,NRT,JP,Asia Pacific,Tokyo,AS51847,Nearoute Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
185.200.65.32,443,true,0%,HTTPing,124ms,未测速,2a12:a304:4:2f2::a,IPv6,185.200.65.32,NRT,JP,Asia Pacific,Tokyo,AS3258,xTom Japan Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085222.000
45.8.173.250,443,true,0%,HTTPing,124ms,未测速,2a0f:1cc6:b221:1:419c:c5a7:79a:1180,IPv6,45.8.173.250,NRT,JP,Asia Pacific,Tokyo,AS197196,Panstar Cloud Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085222.000
156.231.117.99,443,true,0%,HTTPing,124ms,未测速,2602:fa4f:b00:1573:4414:b6ad:2198:ff42,IPv6,156.231.117.99,NRT,JP,Asia Pacific,Tokyo,AS61112,AKILE LTD,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
178.239.117.24,443,true,0%,HTTPing,124ms,未测速,2a0f:9400:7393:1f::110,IPv6,178.239.117.24,NRT,JP,Asia Pacific,Tokyo,AS134677,Dromatics Systems Pte Ltd,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
193.32.149.221,443,true,0%,HTTPing,124ms,未测速,193.32.149.221,IPv4,193.32.149.221,NRT,JP,Asia Pacific,Tokyo,AS3258,xTom Japan Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
45.14.106.250,443,true,0%,HTTPing,124ms,未测速,2400:ddc0:c001::251,IPv6,45.14.106.250,KIX,JP,Asia Pacific,Osaka,AS4785,xTom,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
103.201.131.197,443,true,0%,HTTPing,124ms,未测速,2a12:a301:2009::1090,IPv6,103.201.131.197,NRT,JP,Asia Pacific,Tokyo,AS3258,xTom Japan Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
92.113.124.143,443,true,0%,HTTPing,124ms,未测速,2a0f:9400:7393:1f::d5,IPv6,92.113.124.143,NRT,JP,Asia Pacific,Tokyo,AS134677,Dromatics Systems Pte Ltd,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085222.000
45.192.203.153,443,true,0%,HTTPing,125ms,未测速,2602:f3f2:cd:b4ab:4371:250b:2097:ceee,IPv6,45.192.203.153,NRT,JP,Asia Pacific,Tokyo,AS401615,ACCK LLC,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
85.149.218.105,443,true,0%,HTTPing,125ms,未测速,2a0e:97c0:3f4:1::1b9,IPv6,85.149.218.105,NRT,JP,Asia Pacific,Tokyo,AS205548,Zouter Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
154.83.95.25,443,true,0%,HTTPing,125ms,未测速,2602:fa4f:b00:863:b518:7e02:e01:ad9c,IPv6,154.83.95.25,NRT,JP,Asia Pacific,Tokyo,AS61112,AKILE LTD,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
188.253.118.241,443,true,0%,HTTPing,125ms,未测速,2407:cdc0:8302:a41f:5a1e:ede4:3280:1035,IPv6,188.253.118.241,NRT,JP,Asia Pacific,Tokyo,AS38136,Akari Networks,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
216.23.87.93,443,true,0%,HTTPing,125ms,未测速,2a0f:b240:19:5c::a,IPv6,216.23.87.93,NRT,JP,Asia Pacific,Tokyo,AS203090,Bitsflowcloud Ltd,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085222.000
45.142.126.166,443,true,0%,HTTPing,126ms,未测速,2a12:a301:2002::10e3,IPv6,45.142.126.166,NRT,JP,Asia Pacific,Tokyo,AS3258,xTom Japan Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085222.000
185.200.64.15,443,true,0%,HTTPing,126ms,未测速,2a12:a301:2011::10a0,IPv6,185.200.64.15,NRT,JP,Asia Pacific,Tokyo,AS3258,xTom Japan Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
64.204.48.24,8443,true,0%,HTTPing,126ms,未测速,2a14:7586:6109:1::15e,IPv6,64.204.48.24,NRT,JP,Asia Pacific,Tokyo,AS206069,Cornseed Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
45.142.126.231,443,true,0%,HTTPing,126ms,未测速,2a12:a301:2002::1021,IPv6,45.142.126.231,NRT,JP,Asia Pacific,Tokyo,AS3258,xTom Japan Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
64.204.49.136,443,true,0%,HTTPing,126ms,未测速,2a14:7586:6109:1::14d,IPv6,64.204.49.136,NRT,JP,Asia Pacific,Tokyo,AS206069,Cornseed Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
5.34.220.80,443,true,0%,HTTPing,127ms,未测速,2407:cdc0:800c::80,IPv6,5.34.220.80,NRT,JP,Asia Pacific,Tokyo,AS38136,Akari Networks,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
43.167.9.109,443,true,0%,HTTPing,127ms,未测速,240d:c000:f06f:8e00:72a2:346:3460:1,IPv6,43.167.9.109,NRT,JP,Asia Pacific,Tokyo,AS132203,"Tencent Building, Kejizhongyi Avenue",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
96.126.191.123,443,true,0%,HTTPing,127ms,未测速,2400:8d60:8::bf0d:632a,IPv6,96.126.191.123,KIX,JP,Asia Pacific,Osaka,AS149440,Evoxt Sdn. Bhd.,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
5.34.220.82,443,true,0%,HTTPing,127ms,未测速,2407:cdc0:800c::82,IPv6,5.34.220.82,NRT,JP,Asia Pacific,Tokyo,AS38136,Akari Networks,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
103.85.25.231,443,true,0%,HTTPing,128ms,未测速,2401:e9e0:4000::fe,IPv6,103.85.25.231,NRT,JP,Asia Pacific,Tokyo,AS134835,Starry Network Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
5.34.220.84,443,true,0%,HTTPing,128ms,未测速,2407:cdc0:800c::84,IPv6,5.34.220.84,NRT,JP,Asia Pacific,Tokyo,AS38136,Akari Networks,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
154.83.94.200,8443,true,0%,HTTPing,128ms,未测速,2602:fa4f:b00:d468:449a:b42b:22a4:e3cc,IPv6,154.83.94.200,NRT,JP,Asia Pacific,Tokyo,AS61112,AKILE LTD,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085222.000
103.27.187.127,443,true,0%,HTTPing,128ms,未测速,2403:ad80:89:4c00:14:0:c6f4:ace7,IPv6,103.27.187.127,NRT,JP,Asia Pacific,Tokyo,AS134835,Starry Network Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
45.251.240.15,443,true,0%,HTTPing,128ms,未测速,2401:e9e0:3000::77,IPv6,45.251.240.15,KIX,JP,Asia Pacific,Osaka,AS4785,xTom,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
206.251.53.91,8443,true,0%,HTTPing,128ms,未测速,206.251.53.91,IPv4,206.251.53.91,NRT,JP,Asia Pacific,Tokyo,AS49304,Sakura Link Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085222.000
45.95.212.215,443,true,0%,HTTPing,128ms,未测速,2405:84c0:8011:a500::,IPv6,45.95.212.215,NRT,JP,Asia Pacific,Tokyo,AS209554,ISIF OU,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
82.108.198.121,443,true,0%,HTTPing,128ms,未测速,2a0a:d687:f004::8,IPv6,82.108.198.121,NRT,JP,Asia Pacific,Tokyo,AS142433,DATAWAVE GLOBAL LLC,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085222.000
103.76.85.210,443,true,0%,HTTPing,128ms,未测速,2a12:e100:27:1::3,IPv6,103.76.85.210,NRT,JP,Asia Pacific,Tokyo,AS51847,Nearoute Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
82.108.155.248,443,true,0%,HTTPing,129ms,未测速,2602:f8c0:8:1001:be24:11ff:fe83:239d,IPv6,82.108.155.248,NRT,JP,Asia Pacific,Tokyo,AS46829,Lamhosting LLC,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
45.94.40.102,443,true,0%,HTTPing,129ms,未测速,2a12:a303:11a:58::a,IPv6,45.94.40.102,NRT,JP,Asia Pacific,Tokyo,AS3258,xTom Japan Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
64.204.49.221,443,true,0%,HTTPing,129ms,未测速,2a14:7586:6109:1::223,IPv6,64.204.49.221,NRT,JP,Asia Pacific,Tokyo,AS206069,Cornseed Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
43.153.169.35,443,true,0%,HTTPing,129ms,未测速,240d:c000:f06f:8f00:906a:8ff0:4e66:0,IPv6,43.153.169.35,NRT,JP,Asia Pacific,Tokyo,AS132203,"Tencent Building, Kejizhongyi Avenue",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
103.27.186.141,443,true,0%,HTTPing,129ms,未测速,2403:ad80:89:4c00:14:0:c19f:f671,IPv6,103.27.186.141,NRT,JP,Asia Pacific,Tokyo,AS134835,Starry Network Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085222.000
