IP地址,端口号,TLS,丢包率,扫描方式,网络延迟,下载速度,出站IP,IP类型,原始输入,数据中心,源IP位置,地区,城市,ASN号码,ASN组织,访问协议,TLS版本,SNI,HTTP版本,WARP,Gateway,RBI,密钥交换,时间戳
138.2.66.236,443,true,0%,HTTPing,457ms,未测速,2603:c024:450c:e100:98d3:cd09:22f2:409,IPv6,138.2.66.236,SIN,SG,Asia Pacific,Singapore,AS31898,Oracle Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057133.000
161.118.223.30,8443,true,0%,HTTPing,467ms,未测速,161.118.223.30,IPv4,161.118.223.30,SIN,SG,Asia Pacific,Singapore,AS31898,Oracle Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057130.000
13.212.102.10,443,true,0%,HTTPing,470ms,未测速,2406:da18:30a:1f02:71f1:5078:c684:c62f,IPv6,13.212.102.10,SIN,SG,Asia Pacific,Singapore,AS16509,"Amazon.com, Inc.",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057130.000
43.160.214.98,443,true,0%,HTTPing,471ms,未测速,240d:c000:f020:1100:c4de:126:2a72:0,IPv6,43.160.214.98,SIN,SG,Asia Pacific,Singapore,AS132203,"Tencent Building, Kejizhongyi Avenue",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057133.000
168.138.189.91,443,true,0%,HTTPing,475ms,未测速,168.138.189.91,IPv4,168.138.189.91,SIN,SG,Asia Pacific,Singapore,AS31898,Oracle Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057129.000
149.28.150.210,443,true,0%,HTTPing,478ms,未测速,2401:c080:1400:5feb:5400:6ff:fe74:12c7,IPv6,149.28.150.210,SIN,SG,Asia Pacific,Singapore,AS20473,"The Constant Company, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057130.000
23.111.15.141,443,true,0%,HTTPing,479ms,未测速,2402:a7c0:3003:113:1c00:b6ff:fe00:b37,IPv6,23.111.15.141,SIN,SG,Asia Pacific,Singapore,AS59253,LEASEWEB SINGAPORE PTE. LTD.,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057130.000
5.223.51.2,443,true,0%,HTTPing,480ms,未测速,2a01:4ff:2f0:11a0::1,IPv6,5.223.51.2,SIN,SG,Asia Pacific,Singapore,AS215859,Hetzner Online GmbH,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057132.000
152.69.213.60,2053,true,0%,HTTPing,483ms,未测速,2603:c024:4507:8c7e::3333,IPv6,152.69.213.60,SIN,SG,Asia Pacific,Singapore,AS31898,Oracle Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057130.000
13.213.65.117,443,true,0%,HTTPing,483ms,未测速,2406:da18:4e8:8900:9368:198:9ecf:8b80,IPv6,13.213.65.117,SIN,SG,Asia Pacific,Singapore,AS16509,"Amazon.com, Inc.",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057130.000
